,date,change
2016-11-03,8,-0.1100009999999969
2016-11-04,12,0.5200049999999976
2016-11-05,9,0.5200049999999976
2016-11-06,8,0.5200049999999976
2016-11-07,13,0.11999500000000296
2016-11-08,13,0.7099989999999963
2016-11-09,2,0.38000500000001125
2016-11-10,1,1.1399989999999889
2016-11-11,5,1.1399989999999889
2016-11-12,1,1.1399989999999889
2016-11-13,8,1.1399989999999889
2016-11-15,2,0.3099979999999931
2016-11-16,5,0.4400020000000069
2016-11-17,1,0.47000099999999634
2016-11-18,3,-0.08000099999999577
2016-11-19,4,-0.08000099999999577
2016-11-20,5,-0.08000099999999577
2016-11-21,1,-0.08000200000000746
2016-11-22,10,0.5900040000000075
2016-11-23,1,0.009993999999991843
2016-11-24,3,0.009993999999991843
2016-11-26,1,-0.3199999999999932
2016-11-27,12,-0.3199999999999932
2016-11-28,3,0.04000100000000373
2016-11-29,7,0.19000300000000436
2016-11-30,10,-0.24000600000000816
2016-12-01,4,-0.4799950000000024
2016-12-02,1,0.4300000000000068
2016-12-03,5,0.4300000000000068
2016-12-04,11,0.4300000000000068
2016-12-05,3,-0.9599989999999963
2016-12-06,5,0.01999599999999191
2016-12-07,4,0.6500020000000006
2016-12-08,5,0.48999799999999993
2016-12-09,3,0.04000100000000373
2016-12-10,7,0.04000100000000373
2016-12-11,4,0.04000100000000373
2016-12-12,7,-0.619995000000003
2016-12-13,8,1.1899939999999987
2016-12-14,2,1.2099999999999937
2016-12-15,5,-0.2900009999999895
2016-12-16,4,-0.05999800000000732
2016-12-17,4,-0.05999800000000732
2016-12-18,3,-0.05999800000000732
2016-12-19,2,0.44000300000000436
2016-12-20,3,-0.2700049999999976
2016-12-21,3,-0.23999799999999993
2016-12-22,5,0.09000399999999331
2016-12-23,6,-0.08000099999999577
2016-12-24,4,-0.08000099999999577
2016-12-25,3,-0.08000099999999577
2016-12-26,3,-0.08000099999999577
2016-12-27,3,0.4799950000000024
2016-12-28,5,-0.379997000000003
2016-12-29,1,-0.6600040000000007
2016-12-30,3,1.2300039999999939
2016-12-31,2,1.2300039999999939
2017-01-01,1,1.2300039999999939
2017-01-02,7,1.2300039999999939
2017-01-03,9,-0.3799979999999863
2017-01-04,9,-0.9300000000000068
2017-01-05,6,-0.22000099999999634
2017-01-06,12,0.22999599999999987
2017-01-07,8,0.22999599999999987
2017-01-08,3,0.22999599999999987
2017-01-09,8,-0.41999900000000423
2017-01-10,4,0.8499989999999968
2017-01-11,6,-1.1499939999999924
2017-01-12,5,-0.13000500000001125
2017-01-13,8,-0.04999499999999557
2017-01-14,3,-0.04999499999999557
2017-01-15,8,-0.04999499999999557
2017-01-16,3,-0.04999499999999557
2017-01-17,9,-0.2800069999999977
2017-01-18,8,0.3900069999999971
2017-01-19,8,-0.2300029999999964
2017-01-20,13,-0.7799990000000037
2017-01-21,2,-0.7799990000000037
2017-01-22,4,-0.7799990000000037
2017-01-23,1,-0.2900009999999895
2017-01-24,4,-0.01999600000000612
2017-01-25,8,0.3199989999999957
2017-01-26,10,0.08999699999999677
2017-01-27,7,0.19999700000001042
2017-01-28,5,0.19999700000001042
2017-01-29,7,0.19999700000001042
2017-01-30,7,-0.5099950000000035
2017-01-31,3,-0.47000099999999634
2017-02-01,4,-0.19000300000000436
2017-02-02,8,0.4100040000000007
2017-02-03,7,-0.010002000000000066
